Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.model.recdevs_bias,Size_DblN_end_logit_Non-trawl_N(3),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_infl_Non-trawl_N(3),28.9556,3,5,70,23,2.47355e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_width_Non-trawl_N(3),3.54779,3,0.1,40,2,-1.15849e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_asymptote_logit_Non-trawl_N(3),2.71676,3,-10,10,2.19722,1.17972e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_maleoffset_Non-trawl_N(3),0,-4,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_peak_Non-trawl_S(4),40.7604,2,10,60,30,-1.23913e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_top_logit_Non-trawl_S(4),-1.72978,3,-7,7,0,-1.29391e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_ascend_se_Non-trawl_S(4),4.46865,3,-5,10,3,1.89705e-5,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_descend_se_Non-trawl_S(4),4.88446,4,-5,10,5,-3.95742e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_start_logit_Non-trawl_S(4),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Size_DblN_end_logit_Non-trawl_S(4),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_infl_Non-trawl_S(4),25.4873,3,5,70,23,-2.02191e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_width_Non-trawl_S(4),2.12939,3,0.1,40,2,-9.49593e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_asymptote_logit_Non-trawl_S(4),2.7726,3,-10,10,2.19722,2.6354e-6,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Retain_L_maleoffset_Non-trawl_S(4),0,-4,-3,3,0,NA,No_prior,NA,NA,NA,NA,NA
